Name,Type,Breed,Color,Sex,Size,Date Of Birth,Impound Number,Kennel Number,Animal ID,Intake Date,Outcome Date,Days in Shelter,Intake Type,Intake Subtype,Outcome Type,Outcome Subtype,Intake Condition,Outcome Condition,Intake Jurisdiction,Outcome Jurisdiction,Outcome Zip Code,Location
PINTO,DOG,PIT BULL,BR BRINDLE/WHITE,Neutered,LARGE,07/27/2016,K24-047988,DS51,A389457,03/24/2024,03/26/2024,2,STRAY,FLD_STRAY,RETURN TO OWNER,OVER THE COUNTER_CALL,UNKNOWN,PENDING,COUNTY,COUNTY,95407,"95407(38.4127094, -122.7412153)"
GRETTA,DOG,GERM SHEPHERD,BLACK/TAN,Spayed,LARGE,08/26/2022,K23-045818,FOSTER,A419963,08/26/2023,03/26/2024,213,STRAY,OVER THE COUNTER,ADOPTION,OTH_MEDIA,HEALTHY,HEALTHY,SANTA ROSA,COUNTY,95441,"95441(38.70854, -122.90737)"
BELLA,DOG,SHIH TZU,TAN,Female,TOY,05/26/2014,K24-048009,DS51,A425507,03/26/2024,03/26/2024,0,STRAY,OVER THE COUNTER,RETURN TO OWNER,OVER THE COUNTER_CALL,UNKNOWN,PENDING,COUNTY,*SEBASTOPOL,95472,"95472(38.4007555, -122.8277055)"
ROCKY,DOG,PIT BULL/MIX,WHITE/BLACK,Male,PUPPY,05/01/2024,K24-049270,DS50,A428101,07/29/2024,07/31/2024,2,CONFISCATE,FLD_ARREST,RETURN TO OWNER,OVER THE COUNTER_ARREST,UNKNOWN,PENDING,COUNTY,COUNTY,95476,"95476(38.295408, -122.4710575)"
*BUFFY,DOG,PARSON RUSS TER/CHIHUAHUA SH,CREAM,Spayed,PUPPY,09/20/2023,K23-047083,DA37,A423033,12/12/2023,01/06/2024,25,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,SCAS WEB,UNKNOWN,HEALTHY,SANTA ROSA,SANTA ROSA,95407,"95407(38.4127094, -122.7412153)"
MUNECA,DOG,SIBERIAN HUSKY,WHITE,Female,MED,01/06/2022,K24-047295,DS63,A423708,01/06/2024,01/09/2024,3,STRAY,OVER THE COUNTER,RETURN TO OWNER,OVER THE COUNTER_WEB,UNKNOWN,PENDING,SANTA ROSA,*WINDSOR,95492,"95492(38.541355, -122.80026)"
COCO,DOG,SIBERIAN HUSKY,BLACK/WHITE,Male,MED,01/09/2015,K24-047302,DA34,A423717,01/08/2024,01/09/2024,1,STRAY,FLD_STRAY,RETURN TO OWNER,OVER THE COUNTER_WEB,UNKNOWN,PENDING,UNKNOWN,SANTA ROSA,95401,"95401(38.44366, -122.7246163)"
ESPERANZA,DOG,SCHNAUZER MIN/WELSH TERRIER,BLACK/GRAY,Spayed,SMALL,06/16/2015,K24-047291,DS52,A423699,01/06/2024,01/09/2024,3,STRAY,FLD_STRAY,RETURN TO OWNER,OVER THE COUNTER_MCHIP,UNKNOWN,PENDING,COUNTY,OUT OF COUNTY,94612,"94612(37.810395, -122.269795)"
SOPHIE,DOG,SCHNAUZER MIN,BLACK/GRAY,Spayed,SMALL,02/01/2013,K24-047298,DS93,A324184,01/07/2024,01/09/2024,2,CONFISCATE,FLD_HOSPTL,RETURN TO OWNER,OVER THE COUNTER_NOTICE,UNKNOWN,PENDING,SANTA ROSA,COUNTY,95446,"95446(38.503755, -122.9935)"
*MILTON,DOG,PIT BULL,BLACK/WHITE,Neutered,LARGE,03/03/2023,K24-048971,DS72,A416694,06/30/2024,07/31/2024,31,STRAY,FIELD,EUTHANIZE,AGGRESSIVE,UNKNOWN,UNTREATABLE,SANTA ROSA,COUNTY,95492,"95492(38.5407034, -122.805922)"
HANK,DOG,GERM SHEPHERD,TAN/BLACK,Male,MED,07/17/2023,K24-048003,DS61,A425494,03/25/2024,03/26/2024,1,STRAY,FLD_STRAY,RETURN TO OWNER,OVER THE COUNTER_WEB,UNKNOWN,PENDING,SANTA ROSA,COUNTY,95409,"95409(38.46382, -122.67058)"
LILA,DOG,GERM SHEPHERD/MIX,WHITE/BLACK,Spayed,MED,12/14/2022,K23-046764,DA05,A422004,11/09/2023,01/09/2024,61,STRAY,FLD_STRAY,ADOPTION,SCAS WEB,HEALTHY,HEALTHY,COUNTY,COUNTY,95472,"95472(38.4007555, -122.8277055)"
*CHIP,DOG,PIT BULL,FAWN/WHITE,Neutered,MED,08/17/2018,K23-045685,DA43,A419574,08/17/2023,12/08/2023,113,STRAY,OVER THE COUNTER,ADOPTION,VOLUNTEER,TREATABLE/MANAGEABLE,HEALTHY,COUNTY,SANTA ROSA,95401,"95401(38.44366, -122.7246163)"
*GATSBY,DOG,AUST CATTLE DOG,GRAY/BROWN,Neutered,MED,10/11/2021,K22-041082,DQ110,A410926,04/11/2022,08/09/2022,120,QUARANTINE,FIELD,RETURN TO OWNER,OVER THE COUNTER_PRVS,UNKNOWN,PENDING,SANTA ROSA,COUNTY,95409,"95409(38.46382, -122.67058)"
TAMARINDO,DOG,LABRADOR RETR/GERM SHEPHERD,BLACK/TAN,Male,MED,04/01/2020,K24-047961,DS81,A422652,03/22/2024,03/26/2024,4,STRAY,FLD_STRAY,RETURN TO OWNER,OVER THE COUNTER_NOTICE,UNKNOWN,PENDING,SANTA ROSA,SANTA ROSA,95407,"95407(38.4127094, -122.7412153)"
COLE,DOG,FRENCH BULLDOG,BLUE MERLE/WHITE,Male,SMALL,03/29/2019,K23-046343,DS73,A420760,10/06/2023,10/06/2023,0,STRAY,OVER THE COUNTER,RETURN TO OWNER,OVER THE COUNTER_PRVS,UNKNOWN,PENDING,COUNTY,COUNTY,95472,"95472(38.4007555, -122.8277055)"
PIPIN,DOG,CHIHUAHUA SH/PARSON RUSS TER,WHITE/BLACK,Neutered,SMALL,11/20/2016,K17-025391,DA25,A361098,09/19/2017,09/20/2017,1,STRAY,OVER THE COUNTER,RETURN TO OWNER,OVER THE COUNTER_PRVS,UNKNOWN,HEALTHY,SANTA ROSA,COUNTY,95476,"95476(38.288405, -122.464525)"
*CHLOE,DOG,CHIHUAHUA SH,BLACK/TAN,Female,SMALL,07/30/2023,K24-049160,TX,A427850,07/18/2024,07/31/2024,13,STRAY,FIELD,EUTHANIZE,ILL SEVERE,UNTREATABLE,UNTREATABLE,SANTA ROSA,,,
CANELO,DOG,LABRADOR RETR,CHOCOLATE,Neutered,MED,01/06/2020,K24-047297,DS89,A423710,01/06/2024,01/09/2024,3,STRAY,OVER THE COUNTER,RETURN TO OWNER,OVER THE COUNTER_WEB,UNKNOWN,PENDING,SANTA ROSA,*WINDSOR,95492,"95492(38.541355, -122.80026)"
PIPIN,DOG,CHIHUAHUA SH/PARSON RUSS TER,WHITE/BLACK,Neutered,SMALL,11/20/2016,K24-048005,CS04,A361098,03/25/2024,03/26/2024,1,STRAY,FLD_STRAY,RETURN TO OWNER,OVER THE COUNTER_WEB,UNKNOWN,PENDING,COUNTY,COUNTY,95476,"95476(38.288405, -122.464525)"
AUSTIN,DOG,AUST CATTLE DOG/LABRADOR RETR,TAN/WHITE,Spayed,PUPPY,08/18/2023,K24-047383,DA40,A423939,01/19/2024,03/26/2024,67,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95401,"95401(38.44366, -122.7246163)"
*DOTTIE,DOG,AUST CATTLE DOG/LABRADOR RETR,WHITE/BLACK,Spayed,PUPPY,09/19/2023,K24-047380,DA42,A423937,01/19/2024,03/26/2024,67,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,SCAS WEB,HEALTHY,HEALTHY,SANTA ROSA,COUNTY,94951,"94951(38.3091653, -122.6545881)"
RYDER,DOG,PIT BULL/BULLMASTIFF,BLACK/BLUE MERLE,Male,SMALL,08/09/2023,K24-047306,DS68,A423722,01/09/2024,01/09/2024,0,STRAY,OVER THE COUNTER,RETURN TO OWNER,OVER THE COUNTER_CALL,UNKNOWN,PENDING,SANTA ROSA,SANTA ROSA,95405,"95405(38.443415, -122.69178)"
BUCK,DOG,GERM SHEPHERD/BELG MALINOIS,BROWN/BLACK,Male,LARGE,09/17/2022,K24-049275,DQ107,A428110,07/30/2024,07/31/2024,1,STRAY,OVER THE COUNTER,RETURN TO OWNER,OVER THE COUNTER_CALL,UNKNOWN,PENDING,SANTA ROSA,COUNTY,95446,"95446(38.5026338, -122.9950827)"
DONITA,DOG,CHIHUAHUA SH/MIX,BLACK/TAN,Spayed,SMALL,04/06/2024,K24-048919,FOSTER,A426383,06/25/2024,07/24/2024,29,ADOPTION RETURN,OVER THE COUNTER,TRANSFER,PETCARE,UNKNOWN,TREATABLE/REHAB,*COTATI,SANTA ROSA,95403,"95403(38.4729505, -122.7442054)"
*RANGER,DOG,SIBERIAN HUSKY,BROWN/TAN,Neutered,SMALL,03/08/2024,K24-048537,DA42,A426265,05/17/2024,07/31/2024,75,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,SCAS WEB,UNKNOWN,HEALTHY,COUNTY,*WINDSOR,95492,"95492(38.5407034, -122.805922)"
MOUTH,DOG,PIT BULL/MIX,BLACK/WHITE,Female,LARGE,02/20/2022,K24-049895,DS60,A429257,09/26/2024,09/27/2024,1,CONFISCATE,FLD_ARREST,RETURN TO OWNER,OVER THE COUNTER_LETTER,UNKNOWN,PENDING,SANTA ROSA,*WINDSOR,95492,"95492(38.5407034, -122.805922)"
BUBBA,DOG,GREAT PYRENEES,BUFF,Neutered,LARGE,10/12/2022,K24-048678,VET,A425090,05/31/2024,05/31/2024,0,STRAY,FIELD,RETURN TO OWNER,OVER THE COUNTER_WALKIN,UNKNOWN,PENDING,COUNTY,COUNTY,95403,"95403(38.4729505, -122.7442054)"
*COOKIE,DOG,BORDER COLLIE,TRICOLOR,Spayed,MED,03/16/2014,K24-047710,DA41,A424844,02/27/2024,03/27/2024,29,STRAY,FIELD,ADOPTION,WALKIN,UNKNOWN,HEALTHY,COUNTY,COUNTY,95425,"95425(38.79895, -123.01762)"
SCRAPPY,DOG,PARSON RUSS TER/MIX,BROWN/WHITE,Male,SMALL,10/31/2015,K24-047910,SMA,A363763,03/18/2024,03/27/2024,9,STRAY,FIELD,RETURN TO OWNER,OVER THE COUNTER_WEB,UNKNOWN,PENDING,SANTA ROSA,SANTA ROSA,95404,"95404(38.44511, -122.708)"
BRAUNIE,DOG,PIT BULL/MIX,BROWN,Neutered,MED,04/08/2021,K24-047851,DQ109,A408497,03/14/2024,03/27/2024,13,CONFISCATE,FLD_ARREST,RETURN TO OWNER,OVER THE COUNTER_ARREST,UNKNOWN,PENDING,SANTA ROSA,SANTA ROSA,95401,"95401(38.44366, -122.7246163)"
CHISPITA,DOG,CHIHUAHUA SH,WHITE/TAN,Spayed,TOY,11/13/2021,K24-048014,DS51,A418665,03/26/2024,03/27/2024,1,CONFISCATE,FLD_HOSPTL,RETURN TO OWNER,OVER THE COUNTER_NOTICE,UNKNOWN,PENDING,SANTA ROSA,SANTA ROSA,95404,"95404(38.44511, -122.708)"
*LEMON,DOG,ROTTWEILER/MIX,RED/BLACK,Spayed,PUPPY,01/07/2024,K24-047609,DA05,A424477,02/13/2024,03/27/2024,43,STRAY,OVER THE COUNTER,ADOPTION,REFERRAL-O,TREATABLE/REHAB,TREATABLE/REHAB,COUNTY,COUNTY,95404,"95404(38.44511, -122.708)"
NALA,DOG,SIBERIAN HUSKY/GERM SHEPHERD,RED/WHITE,Spayed,MED,04/10/2021,K23-046968,DQ116,A422655,12/02/2023,12/02/2023,0,STRAY,OVER THE COUNTER,RETURN TO OWNER,OVER THE COUNTER_CALL,UNKNOWN,PENDING,SANTA ROSA,SANTA ROSA,95407,"95407(38.4127094, -122.7412153)"
KILO,DOG,PIT BULL/MIX,BLACK/WHITE,Male,LARGE,03/25/2020,K24-048000,DQ111,A425484,03/25/2024,03/27/2024,2,CONFISCATE,FLD_ARREST,RETURN TO OWNER,OVER THE COUNTER_ARREST,UNKNOWN,PENDING,SANTA ROSA,SANTA ROSA,95407,"95407(38.4127094, -122.7412153)"
LEXI,DOG,STAFFORDSHIRE,WHITE/BROWN,Spayed,SMALL,11/30/2015,K24-047308,DS60,A422452,01/09/2024,01/10/2024,1,STRAY,OVER THE COUNTER,RETURN TO OWNER,OVER THE COUNTER_CALL,UNKNOWN,PENDING,SANTA ROSA,COUNTY,95404,"95404(38.44511, -122.708)"
*IKE,DOG,SIBERIAN HUSKY,BLACK/WHITE,Neutered,LARGE,04/01/2020,K23-044262,DA42,A416471,04/01/2023,01/10/2024,284,STRAY,OVER THE COUNTER,ADOPTION,SCAS WEB,HEALTHY,HEALTHY,COUNTY,OUT OF COUNTY,95461,"95461(38.75402, -122.61931)"
NALA,DOG,SIBERIAN HUSKY/GERM SHEPHERD,RED/WHITE,Spayed,MED,04/10/2021,K24-047962,DS58,A422655,03/22/2024,03/26/2024,4,STRAY,FLD_STRAY,RETURN TO OWNER,OVER THE COUNTER_WEB,UNKNOWN,PENDING,SANTA ROSA,SANTA ROSA,95407,"95407(38.4127094, -122.7412153)"
MICKEY,DOG,MALTESE,WHITE,Neutered,TOY,08/19/2010,K23-045622,DS83,A378799,08/04/2023,08/04/2023,0,STRAY,FLD_STRAY,RETURN TO OWNER,OVER THE COUNTER_NOTICE,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95409,"95409(38.46382, -122.67058)"
COOKIE,DOG,CHIHUAHUA SH,BLACK/WHITE,Spayed,TOY,11/13/2021,K24-048013,DS51,A418666,03/26/2024,03/27/2024,1,CONFISCATE,FLD_HOSPTL,RETURN TO OWNER,OVER THE COUNTER_NOTICE,UNKNOWN,PENDING,SANTA ROSA,SANTA ROSA,95404,"95404(38.44511, -122.708)"
LILLY,DOG,CHIHUAHUA SH,TAN,Spayed,TOY,09/27/2013,K14-009537,DA06,A308443,06/27/2014,08/09/2014,43,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,SANTA ROSA,95407,"95407(38.4127094, -122.7412153)"
CAT,DOG,CATAHOULA/MIX,BRN MERLE/BLACK,Spayed,LARGE,09/13/2009,K24-047276,DS73,A360813,01/04/2024,01/10/2024,6,STRAY,OVER THE COUNTER,RETURN TO OWNER,OVER THE COUNTER_NOTICE,UNKNOWN,PENDING,COUNTY,COUNTY,94951,"94951(38.294195, -122.670365)"
COBY,DOG,POMERANIAN,BLACK,Neutered,TOY,07/10/2018,K23-047060,DA05,A422994,12/09/2023,01/03/2024,25,STRAY,FLD_STRAY,ADOPTION,WALKIN,UNKNOWN,HEALTHY,SANTA ROSA,SANTA ROSA,95401,"95401(38.44366, -122.7246163)"
*NICK,DOG,PARSON RUSS TER/CHIHUAHUA SH,CREAM/WHITE,Neutered,PUPPY,09/20/2023,K23-047079,FOSTER,A423029,12/13/2023,01/09/2024,27,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,*WINDSOR,95492,"95492(38.541355, -122.80026)"
*BUFFY,DOG,PARSON RUSS TER/CHIHUAHUA SH,CREAM,Spayed,PUPPY,09/20/2023,K24-047307,DA37,A423033,01/09/2024,01/09/2024,0,ADOPTION RETURN,OVER THE COUNTER,ADOPTION,WALKIN,UNKNOWN,PENDING,SANTA ROSA,*WINDSOR,95492,"95492(38.541355, -122.80026)"
JOON,DOG,SIBERIAN HUSKY/MIX,BLACK/TAN,Spayed,MED,06/27/2018,K24-047311,DS52,A382673,01/09/2024,01/10/2024,1,STRAY,OVER THE COUNTER,RETURN TO OWNER,OVER THE COUNTER_MCHIP,UNKNOWN,PENDING,SANTA ROSA,SANTA ROSA,95401,"95401(38.44366, -122.7246163)"
MALO,DOG,PIT BULL/MIX,BLACK/WHITE,Male,LARGE,03/25/2019,K24-048001,DQ113,A425486,03/25/2024,03/27/2024,2,CONFISCATE,FLD_ARREST,RETURN TO OWNER,OVER THE COUNTER_ARREST,UNKNOWN,PENDING,SANTA ROSA,SANTA ROSA,95407,"95407(38.4127094, -122.7412153)"
,DOG,FRENCH BULLDOG,BLACK/TAN,Female,SMALL,07/09/2022,K24-047304,,A423720,01/09/2024,,0,STRAY,FIELD,,,UNKNOWN,,SANTA ROSA,,,
BELLA,DOG,PIT BULL/MIX,BR BRINDLE/WHITE,Female,MED,02/20/2017,K24-049894,DS62,A429256,09/26/2024,09/27/2024,1,CONFISCATE,FLD_ARREST,RETURN TO OWNER,OVER THE COUNTER_LETTER,UNKNOWN,PENDING,SANTA ROSA,*WINDSOR,95492,"95492(38.5407034, -122.805922)"
,DOG,PIT BULL,BLACK,Male,LARGE,09/14/2016,K24-049761,DA20,A429006,09/13/2024,09/27/2024,14,STRAY,FLD_STRAY,EUTHANIZE,AGGRESSIVE,UNKNOWN,TREATABLE/MANAGEABLE,SANTA ROSA,,,
*CHAI,DOG,CATAHOULA/MIX,WHITE/LIVER TICK,Spayed,SMALL,03/17/2024,K24-048361,DA42,A426198,05/01/2024,07/26/2024,86,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,UNKNOWN,HEALTHY,COUNTY,*HEALDSBURG,95448,"95448(38.6171774, -122.8696164)"
*ANNA,DOG,PIT BULL/MIX,BLACK,Spayed,SMALL,03/21/2024,K24-048882,DA31,A427268,06/21/2024,08/01/2024,41,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,*WINDSOR,95492,"95492(38.5407034, -122.805922)"
*SUMMER,DOG,LABRADOR RETR/MIX,BLACK,Spayed,PUPPY,01/26/2024,K24-048630,DA32,A426717,05/28/2024,08/01/2024,65,STRAY,FLD_STRAY,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95404,"95404(38.451809, -122.692988)"
*FRANKIE,DOG,POODLE MIN,WHITE,Neutered,SMALL,05/28/2019,K24-048637,FOSTER,A426724,05/28/2024,08/01/2024,65,STRAY,FIELD,ADOPTION,REFERRAL-F,UNKNOWN,HEALTHY,COUNTY,*CLOVERDALE,95425,"95425(38.797123, -123.01467)"
JIMMY BEAST,DOG,CHIHUAHUA SH/MIX,TAN,Male,SMALL,04/06/2024,K24-048472,CS04,A426385,05/13/2024,08/01/2024,80,CONFISCATE,FLD_HOSPTL,TRANSFER,DOGWOOD,UNKNOWN,HEALTHY,SANTA ROSA,SANTA ROSA,95403,"95403(38.4729505, -122.7442054)"
*PEEK-A-BOO,DOG,AUST CATTLE DOG,BLUE/TAN,Neutered,MED,06/01/2022,K24-048073,DA03,A425443,03/28/2024,06/01/2024,65,OWNER SURRENDER,FIELD,ADOPTION,WALKIN,UNKNOWN,HEALTHY,COUNTY,COUNTY,95409,"95409(38.457489, -122.644131)"
*PEEK-A-BOO,DOG,AUST CATTLE DOG,BLUE/TAN,Neutered,MED,06/01/2022,K24-047969,DS89,A425443,03/22/2024,03/28/2024,6,CONFISCATE,FIELD,RTOS,SPHONE,UNKNOWN,PENDING,COUNTY,COUNTY,95407,"95407(38.4101254, -122.7276168)"
CHULUPA,DOG,CHIHUAHUA SH,TAN/WHITE,Neutered,TOY,01/01/2011,K23-047099,DA30,A276404,12/12/2023,12/22/2023,10,CONFISCATE,FLD_HOSPTL,RETURN TO OWNER,OVER THE COUNTER_PRVS,UNKNOWN,PENDING,SANTA ROSA,*COTATI,94931,"94931(38.3260186, -122.706422)"
BAILEY,DOG,CHIHUAHUA SH/PUG,BLACK/WHITE,Spayed,MED,01/26/2023,K24-048026,DS51,A425558,03/28/2024,03/28/2024,0,STRAY,OVER THE COUNTER,RETURN TO OWNER,OVER THE COUNTER_CALL,UNKNOWN,PENDING,SANTA ROSA,COUNTY,95403,"95403(38.4716444, -122.7398255)"
RAYA,DOG,LABRADOR RETR/MIX,BLACK/WHITE,Spayed,SMALL,10/19/2022,K22-043374,DA48,A414483,12/20/2022,01/21/2023,32,STRAY,FIELD,ADOPTION,SCAS WEB,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95403,"95403(38.4716444, -122.7398255)"
*BUSTER,DOG,BEAGLE/MIX,YELLOW,Neutered,MED,04/13/2023,K24-048176,DA02,A425846,04/13/2024,06/01/2024,49,STRAY,FLD_STRAY,ADOPTION,SCAS WEB,HEALTHY,HEALTHY,SANTA ROSA,COUNTY,95476,"95476(38.295408, -122.4710575)"
PRINCESS,DOG,CHIHUAHUA SH,TAN,Female,TOY,01/11/2023,K24-047334,DA19,A423771,01/11/2024,01/11/2024,0,STRAY,OVER THE COUNTER,RETURN TO OWNER,OVER THE COUNTER_WEB,UNKNOWN,PENDING,SANTA ROSA,SANTA ROSA,95403,"95403(38.4716444, -122.7398255)"
DOLLY,DOG,LABRADOR RETR,BLACK,Female,LARGE,06/30/2012,K16-017565,DS89,A332372,01/25/2016,01/26/2016,1,STRAY,FIELD,RETURN TO OWNER,OVER THE COUNTER_MCHIP,HEALTHY,HEALTHY,SANTA ROSA,OUT OF COUNTY,95614,"95614(38.89591, -121.00184)"
MIA,DOG,GERM SHEPHERD/MIX,BROWN/BR BRINDLE,Spayed,PUPPY,01/05/2024,K24-047656,DA39,A424662,02/20/2024,03/27/2024,36,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,COUNTY,95403,"95403(38.4716444, -122.7398255)"
GILLEY,DOG,LABRADOR RETR,BLACK,Male,LARGE,05/18/2015,K16-017564,DS55,A332371,01/25/2016,01/26/2016,1,STRAY,FIELD,RETURN TO OWNER,OVER THE COUNTER_MCHIP,HEALTHY,HEALTHY,SANTA ROSA,OUT OF COUNTY,95614,"95614(38.89591, -121.00184)"
LYNCH,DOG,LABRADOR RETR,YELLOW,Male,LARGE,05/18/2015,K16-017562,DS82,A332369,01/25/2016,01/26/2016,1,STRAY,FIELD,RETURN TO OWNER,OVER THE COUNTER_MCHIP,HEALTHY,HEALTHY,SANTA ROSA,OUT OF COUNTY,95614,"95614(38.89591, -121.00184)"
*ROMAN,DOG,GERM SHEPHERD/MIX,WHITE,Neutered,PUPPY,12/20/2023,K24-047651,DA10,A424656,02/20/2024,03/28/2024,37,STRAY,OVER THE COUNTER,ADOPTION,SCAS WEB,UNKNOWN,PENDING,COUNTY,SANTA ROSA,95404,"95404(38.44511, -122.708)"
*NAPOLEON,DOG,CHIHUAHUA SH,TAN,Neutered,SMALL,04/10/2022,K24-048148,DA04,A425774,04/10/2024,06/01/2024,52,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95403,"95403(38.4729505, -122.7442054)"
COCO,DOG,GERM SHEPHERD/MIX,BLACK/WHITE,Spayed,PUPPY,11/12/2023,K23-046840,DA38,A422252,11/17/2023,02/28/2024,103,STRAY,FIELD,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,SANTA ROSA,95404,"95404(38.451809, -122.692988)"
BUSTER,DOG,POODLE STND,BLACK,Neutered,LARGE,02/22/2010,K18-028427,DS85,A292182,05/29/2018,06/13/2018,15,CONFISCATE,FLD_HOSPTL,RETURN TO OWNER,OVER THE COUNTER_MCHIP,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95409,"95409(38.457489, -122.644131)"
